# Updated 03/12/2025: removed duplicate points
x,y,z  
-0.0342,7.8773,14.1483  
-0.0089,7.5500,14.1880  
0.0623,7.5500,13.9646  
0.0180,7.5500,14.1146  
0.0417,7.5500,14.0401  
0.0358,7.8660,13.9230  
-0.0488,7.9878,14.1113  
-0.0973,8.1865,14.0494  
-0.0488,8.0988,14.0008  
-0.0488,8.1853,13.8702  
-0.0298,8.1618,13.8203  
-0.1307,8.4209,13.6621  
-0.2614,8.6289,13.4573  
-0.2148,8.5628,13.5934  
-0.2148,8.5243,13.8057  
-0.1951,8.4627,13.8961  
-0.3230,8.6927,13.6957  
-0.4146,8.7743,13.2171  
-0.4305,8.8134,13.3456  
-0.4747,8.8653,13.4579  
-0.6430,8.9723,13.1941  
-0.5818,8.8491,12.9549  
-0.6887,8.9567,13.0154  
-0.7539,8.8491,12.6852  
-0.8198,9.0086,12.9169  
-0.9813,8.9697,12.6487  
-0.9965,8.9723,12.6398  
-0.9211,8.7743,12.4230  
-0.9813,8.7661,12.3704  
-1.0744,8.6289,12.1828  
-1.1648,8.8653,12.3760  
-1.3165,8.6927,12.1382  
-1.2987,8.5759,12.0502  
-1.4444,8.4627,11.9378  
-1.2050,8.4209,11.9780  
-1.2987,8.2599,11.8635  
-1.3060,8.1618,11.8198  
-1.5422,8.1865,11.7845  
-1.3715,7.8660,11.7170  
-1.6053,7.8773,11.6856  
-1.4751,7.5500,11.6623  
-1.5527,7.5500,11.6525  
-1.3980,7.5500,11.6755  
-1.6306,7.5500,11.6458  
-0.3498,7.8357,14.3617  
-0.2033,7.5500,14.3121  
-0.3295,7.5000,14.3935  
-0.2033,7.4500,14.3121  
-0.3498,7.1643,14.3617  
-0.0089,7.4500,14.1880  
-0.0342,7.1227,14.1483  
-0.4098,6.8455,14.2676  
-0.0973,6.8135,14.0494  
-0.5065,6.5594,14.1161  
-0.1951,6.5373,13.8961  
-0.6350,6.3206,13.9147  
-0.3230,6.3073,13.6957  
-0.7888,6.1408,13.6736  
-0.4747,6.1347,13.4579  
-0.9603,6.0293,13.4047  
-0.6430,6.0277,13.1941  
